,airport_gate,baggage,booking_fare,flight_disruption,loyalty,other_non_actionable,refund_compensation,safety_legal,seating,service_feedback,technology
airport_gate,6,1,0,5,0,0,0,0,1,0,1
baggage,1,18,5,2,0,1,0,0,0,2,0
booking_fare,1,4,9,3,1,3,0,0,0,2,1
flight_disruption,1,3,2,20,0,4,0,0,1,3,2
loyalty,0,1,0,2,4,0,1,0,0,1,0
other_non_actionable,1,3,4,1,0,12,0,0,2,5,0
refund_compensation,0,0,1,2,2,0,1,0,1,1,0
safety_legal,0,0,0,1,0,0,0,0,1,1,0
seating,0,0,2,3,0,0,0,0,22,2,0
service_feedback,0,2,3,7,1,6,0,0,0,10,0
technology,2,0,0,0,0,1,0,0,1,1,6
